id,ownerUsername,timestamp,locationName,caption,type,likesCount,commentsCount,videoViewCount,videoPlayCount,videoDuration,videoUrl,musicInfo/artist_name,musicInfo/audio_id,musicInfo/should_mute_audio,musicInfo/should_mute_audio_reason,musicInfo/song_name,musicInfo/uses_original_audio,isSponsored,isPinned,hashtags/0,hashtags/1,hashtags/2,hashtags/3,hashtags/4,hashtags/5,hashtags/6,hashtags/7,hashtags/8,hashtags/9,hashtags/10,hashtags/11,hashtags/12,hashtags/13,hashtags/14,hashtags/15,hashtags/16,user_followersCount
3135035384294184034,user1,2023-06-28T09:42:42.000Z,Favignana,"😮😮😮😮😮 I’m home 

.
.
.
.
.

Italian summer aesthetic, island aesthetic, summer island vibes, summer style, island style, vintage bikini look, what to wear in Italy this summer, summer aesthetic, Pinterest summer. #vintagebikini #summerlook #italiansummer #beachlookinspo #outfitsforeurope",Sidecar,-1,79,,,,,,,,,,,False,,vintagebikini,summerlook,italiansummer,beachlookinspo,outfitsforeurope,,,,,,,,,,,,,2017
3197429472297064500,user5,2023-09-22T11:48:37.000Z,"Sardinia, Italy","Hosting a sustainable fashion workshop looked exactly like this🥹🫶🏼✨ We talked about all things fast & slow fashion, how being 100% sustainable is not attainable or the goal you should strive for, and also practiced easy mending & upcycling methods💫✨ All I can say is that little Kelly still can’t believe she did that, so thank you @zoelouwize because you are a literal dream bestie to have - & @tdmmalta thank you for believing in me & my potential in delivering it together with Zoe & Christina🤝🏼🎀 & besties, trust that the universe will show you what your purpose in this world is. Practice becoming more aware & understand that there is no time-limit to discovering it💫☁️✨

#thriftworks #sewingworkshop #upcyclingjeans #youthexchange",Sidecar,222,9,,,,,,,,,,,False,,thriftworks,sewingworkshop,upcyclingjeans,youthexchange,,,,,,,,,,,,,,9344
3216483181756871368,user4,2023-10-18T18:44:56.000Z,Malta,"Can it be striped-sweater season already? 😩🫶 I thrifted this gorgeous gem from Jovana at @cherryystone & it’s one of my favourite Autumnal pieces 🍂 it’s also from the mens section!! Love it! 
-
#myoutfit #ootd #myoutfitoftheday #autumnoutfit #autumnootd #ootdautumn🍂 #maltaoutfit #thriftmalta #malta 🧿",Sidecar,-1,16,,,,,,,,,,,False,,myoutfit,ootd,myoutfitoftheday,autumnoutfit,autumnootd,ootdautumn🍂,maltaoutfit,thriftmalta,malta,,,,,,,,,17648
3226530990207873008,user4,2023-11-01T15:28:08.000Z,Malta,"HELLO BIRTHDAY MONTH ❤️ it’s scorpio season 🦂 swipe to see 2011 samii 🥲
-
psssst….a little tip if you're looking to dress more sustainably! Look for accessories that are either timeless or fit your style (ask yourself: if this item is not trending and no one else has anything like it...would I still proudly wear it?) to have endless choices in your wardrobe! As you can see, I paired the dress I had thrifted at the Birgu Carboot Sale - bonus! it was only €3 - new with tags! 🤫-
-
#scorpiobaby #scorpioseason #november #birthdaymonth #redhears #popofred #colorful #malta #thriftmalta 🧿",Sidecar,446,20,,,,,,,,,,,False,,scorpiobaby,scorpioseason,november,birthdaymonth,redhears,popofred,colorful,malta,thriftmalta,,,,,,,,,17648
3213475546719666360,user4,2023-10-14T15:10:01.000Z,Malta,"Truth be told, thrifting is in my veins❤️

My sister & I were lucky enough to be brought up in a subconsciously sustainable household - where my mother’s love for sewing and anything handmade blended with my father’s love for vintage trinkets 🗝️ 

Even though now as the mentality around thrifting is shifting, I still remember receiving messages from people who considered this hobby & love as something completely disgusting 😅 While everyone is entitled to their own opinion, I believe that embracing thrifting and sustainable living is not only an eco-friendly choice but also a way to express one’s unique style and creativity 🫶

On a personal level, our love for thrifting has brought my family closer together 👨‍👩‍👧‍👧 It’s more than just shopping; it’s about spending quality time together, sharing stories, and seeing what we can repurpose - especially now that we do not live together ❤️
-
#thriftmalta #thriftinmalta #malta #thrifting #heartfelt #familyvalues #sustainability 🧿",Video,356,8,7128.0,17686.0,34.653,https://instagram.fosu2-2.fna.fbcdn.net/o1/v/t16/f2/m82/AQNQ2RKi3hwrx65WgN00iRUWvWoYlaUlvU2CdioRSSs-HG1_CrGHSlr5Mv10kmabwyjORBKGSDCO1bvLJXU8w0AwFQ8WAmPzwpOlVi4.mp4?stp=dst-mp4&efg=eyJxZV9ncm91cHMiOiJbXCJpZ193ZWJfZGVsaXZlcnlfdnRzX290ZlwiXSIsInZlbmNvZGVfdGFnIjoidnRzX3ZvZF91cmxnZW4uY2xpcHMuYzIuNzIwLmJhc2VsaW5lIn0&_nc_cat=103&vs=1747261255720146_3685949668&_nc_vs=HBksFQIYT2lnX3hwdl9yZWVsc19wZXJtYW5lbnRfcHJvZC80MDQzQUZDNjYyRDdDOEM1RUZCMzAxREIyN0EyOTlCMF92aWRlb19kYXNoaW5pdC5tcDQVAALIAQAVAhg6cGFzc3Rocm91Z2hfZXZlcnN0b3JlL0dHdTlNUmQyamxYaVZxb0RBQXVISGRybGZIRlpicV9FQUFBRhUCAsgBACgAGAAbABUAACbcm6eWkvr6PxUCKAJDMywXQEFTlYEGJN0YEmRhc2hfYmFzZWxpbmVfMV92MREAdf4HAA%3D%3D&_nc_rid=4c98bffede&ccb=9-4&oh=00_AYAzc_UFALL2lOpeSKhoyIMcOUJ5SG9w5NFxSM9f5Cs01g&oe=6767067E&_nc_sid=10d13b,isaintjames,1216432605700277.0,False,,Dado,True,False,,thriftmalta,thriftinmalta,malta,thrifting,heartfelt,familyvalues,sustainability,,,,,,,,,,,17648
3245377551675186831,user4,2023-11-27T15:32:53.000Z,Malta,"time travel with me to the ‘70s? 🪩
-
this gorgeous, vintage coat was a golden find for me while thrifting last year 🤎 it’s a vintage piece from the early ‘70s & when I wore it to nanna’s house, she told me she had one similar to it that has been sitting in her closet for decades! 🥹 we obviously had to snap a photo with it on together (taken last year) 👯‍♀️ it’s truly an “out of a barbie movie” moment when I bond with my elder family members over my finds 🥹🪩 which era of fashion is your favourite? 
-
-
#70sstyle #70sfashion #thriftedfashion #vinted #vintagecoat #70saesthetic #malta #nanna 🪬",Sidecar,330,30,,,,,,,,,,,False,,70sstyle,70sfashion,thriftedfashion,vinted,vintagecoat,70saesthetic,malta,nanna,,,,,,,,,,17648
3212085987251458073,user4,2023-10-12T17:08:30.000Z,Malta,"all dressed up to feed the girls 🐄🐮
-
Until the Maltese weather decideds it’s time for colder climate, it’s the season of layers 🍂 so I paired this dress I found at the 📍Birgu Carboot Sale & this vintage vest from 📍S.A.S.G 🤍 added my vintage sunnies from 📍Hugs & went to treat Delilah & Pukka during sunset 🌅🐄
-
-
#cowsofinstagram #mylovies #loveanimals #lovecows #myoutfit #layerseason #transitionaloutfits #malta #thriftmalta 🧿",Sidecar,568,37,,,,,,,,,,,False,,cowsofinstagram,mylovies,loveanimals,lovecows,myoutfit,layerseason,transitionaloutfits,malta,thriftmalta,,,,,,,,,17648
3128679545945919432,user1,2023-06-19T15:14:47.000Z,"Puglia, Italy","I biked to town in this outfit 

.
.
.
.
.
.
.

European summer aesthetic, Italian summer, evening in Italy outfit, evening look, summer evening look, what to wear to dinner this summer, evening dress, evening style, dress look, edgy dress look, street wear evening, dress, heeled sandals, vintage outfit, thrifting inspo, outfit inspo for Europe this summer, ootd blogger, micro content creator, Pinterest aesthetic, Pinterest outfit, hair style inspo. #italiansummer #eveningsummerlook #europeaesthetic #pinterestaesthetic #summeroutfitinspo",Sidecar,-1,96,,,,,,,,,,,False,,italiansummer,eveningsummerlook,europeaesthetic,pinterestaesthetic,summeroutfitinspo,,,,,,,,,,,,,2017
3211350838461217548,user4,2023-10-11T16:48:06.000Z,Malta,"IT’S OFFICIALLY FALL 🍂 which means my birthday is in less than a month 🥳🤎 anyways…😂 these are 5 outfits you’ll see wearing this transitional season 🍂 all of them have a thrifted element in them which I LOVE! 🪩 want to thrift something similar in #malta 📍? Here’s where I got everything from 👇(save for your next thrift-venture!)
-
📍outfit 1: shirt & bag - Stepping stone (🗺️184, Fleur-De-Lys, Birkirkara)
skirt - MSPCA, Sliema (🗺️25, Triq Ġorġ Borġ Olivier) & San Ġwann (🗺️30, Mensija Road)
trench coat - Give & Take by Inspire, Marsascala (🗺️Triq iz-Zinzell)& Ħamrun (🗺️768, Triq il-Kbira San Ġużepp - across from Daniels)
-
📍outfit 2: jumper - Vintage + (🗺️Triq il-Ħarifa, Buġibba)
skirt - @_thrift_in_the_city_ , Valletta (🗺️14/15, Double M, Old Theater Street. Next event is on the 21st & 22nd October!)
-
📍outfit 3: dress - Birgu Carboot Sale (🗺️Mistraħ il-Fortini)
vest- SASG (🗺️ 2, Triq il-Fuxa, San Ġwann)
bag - Give & Take by Inspire, Marsascala (🗺️Triq iz-Zinzell)& Ħamrun (🗺️768, Triq il-Kbira San Ġużepp - across from Daniels)
sunnies - Hugs (🗺️197, Triq il-Ħtajriet, Mosta)
-
📍outfit 4: sunnies - Hugs (🗺️197, Triq il-Ħtajriet, Mosta)
sweater : @cherryystone (🗺️Triq J. Borg, Imsida - across from JC)
bag: PAWS, San Ġwann (🗺️ 27, Mensija Road, San Ġwann)
-
📍outfit 5: vest - Missio (🗺️119, Qormi Road, Ħamrun)
jeans - AAA, Ħamrun (🗺️14, Triq Villambrosa, Il-Ħamrun)
bag - Dar Hosea Bazaar, Birkirkara (🗺️Valley Road across from HSBC behind bus stop)
belt - Kittyland (🗺️135, Triq Santa Marija, Tarxien)
-
Which one is your favourite? 🍂
#thriftedoutfits #autumninspo #autumnaesthetic #knitwear #trenchseason #malta #fashion #thriftedfashion #thriftmalta #malta 🧿🗺️",Video,-1,15,1937.0,7621.0,6.6,https://instagram.flhe3-2.fna.fbcdn.net/o1/v/t16/f2/m82/AQM3I-aFiEjf81DzZvD2sjPxj69qKwleFLKxoVp3DJK3syuxgoONTUscayya1N3hjyqqGofN20NYi9MOmj-iVwK8lvbZi7P4NzjsF_A.mp4?stp=dst-mp4&efg=eyJxZV9ncm91cHMiOiJbXCJpZ193ZWJfZGVsaXZlcnlfdnRzX290ZlwiXSIsInZlbmNvZGVfdGFnIjoidnRzX3ZvZF91cmxnZW4uY2xpcHMuYzIuNzIwLmJhc2VsaW5lIn0&_nc_cat=102&vs=225961176902477_2797699435&_nc_vs=HBksFQIYT2lnX3hwdl9yZWVsc19wZXJtYW5lbnRfcHJvZC85OTQxMDhBN0QxM0JEQzk0RTNFRkE0OEQ3RDhERjZBRV92aWRlb19kYXNoaW5pdC5tcDQVAALIAQAVAhg6cGFzc3Rocm91Z2hfZXZlcnN0b3JlL0dGNF9NUmVZNC15blI3NEdBQ2VaT0pPaGVFQnJicV9FQUFBRhUCAsgBACgAGAAbABUAACa00abYtaKkQBUCKAJDMywXQBpmZmZmZmYYEmRhc2hfYmFzZWxpbmVfMV92MREAdf4HAA%3D%3D&_nc_rid=b31eb41533&ccb=9-4&oh=00_AYDNvsifANIR6vKhCnge4Uktz32ouOwZe--uQQkyUH6xgg&oe=67670B01&_nc_sid=10d13b,ivaanapetrovic,639507000000000.0,False,,It’s officially fall,True,False,,malta,thriftedoutfits,autumninspo,autumnaesthetic,knitwear,trenchseason,fashion,thriftedfashion,thriftmalta,,,,,,,,,17648
3132208059676434898,user1,2023-06-24T12:05:19.000Z,"Sicily, Italy","Here come the Sicily outfits🌸☀️

.
.
.
.
.
.
 
Italian summer, what I wore in Italy, what to wear in Italy this summer, European outfit inspo, European summer outfits, beach look, coastal look, in style beach look, bikini outfit, long shorts, floral look, trendy look, thrifted style, vintage outfits, outfit inspo, beachy summer vibes, Pinterest aesthetic, European aesthetic. #italiansummeroutfits #beachlook #europeansummerlook #longshortsoutfits #pinterestaesthetic #summeroutfitinspo",Sidecar,-1,116,,,,,,,,,,,False,,italiansummeroutfits,beachlook,europeansummerlook,longshortsoutfits,pinterestaesthetic,summeroutfitinspo,,,,,,,,,,,,2017
